"name","alpha","id","amount","type","date","origin","full","fy"
"Shante","Lennie",1,110,"Recurring Gift",2011-10-20,"small","Shante Lennie","2011"
"Shante","Lennie",1,162,"Cash",2011-10-27,"small","Shante Lennie","2011"
"Shante","Lennie",1,3779,"Recurring Gift",2009-11-02,"small","Shante Lennie","2009"
"Shante","Lennie",1,3096,"Recurring Gift",2018-06-06,"small","Shante Lennie","2018"
"Hollis","Henderson",2,2188,"Cash",2017-02-05,"small","Hollis Henderson","2017"
"Hollis","Henderson",2,3555,"Stock",2013-08-27,"small","Hollis Henderson","2013"
"Hollis","Henderson",2,75729,"Cash",2009-05-13,"medium","Hollis Henderson","2009"
"Hollis","Henderson",2,40217,"Cash",2013-10-16,"medium","Hollis Henderson","2013"
"Antoinette","Henriette",3,4905,"Cash",2009-10-01,"small","Antoinette Henriette","2009"
"Rolando","Shawn",4,1725,"Cash",2009-01-02,"small","Rolando Shawn","2009"
"Rolando","Shawn",4,54,"Stock",2010-06-09,"small","Rolando Shawn","2010"
"Rolando","Shawn",4,3438,"Recurring Gift",2015-12-23,"small","Rolando Shawn","2015"
"Ibrahim","Aimee",5,2988,"Stock",2011-01-19,"small","Ibrahim Aimee","2011"
"Ibrahim","Aimee",5,1988,"Cash",2017-10-02,"small","Ibrahim Aimee","2017"
"Melville","Alyssa",6,3851,"Cash",2013-04-11,"small","Melville Alyssa","2013"
"Melville","Alyssa",6,2705,"Recurring Gift",2011-09-09,"small","Melville Alyssa","2011"
"Chanel","Lillie",7,4912,"Recurring Gift",2015-02-18,"small","Chanel Lillie","2015"
"Jan","Marlo",8,4603,"Stock",2010-10-02,"small","Jan Marlo","2010"
"Jan","Marlo",8,4031,"Recurring Gift",2011-08-05,"small","Jan Marlo","2011"
"Hilton","Treva",9,1651,"Stock",2008-12-05,"small","Hilton Treva","2008"
"Hilton","Treva",9,3953,"Cash",2018-05-21,"small","Hilton Treva","2018"
